19:15:32.657 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ujcompany.journalApp.service.EmailServiceTest], using SpringBootContextLoader
19:15:32.662 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.ujcompany.journalApp.service.EmailServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
19:15:32.662 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.ujcompany.journalApp.service.EmailServiceTest]: EmailServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:15:32.714 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.ujcompany.journalApp.JournalApplication for test class com.ujcompany.journalApp.service.EmailServiceTest
19:15:32.744 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
19:15:32.750 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@75390459, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7756c3cd, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2313052e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2bd2b28e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@16746061, org.springframework.test.context.support.DirtiesContextTestExecutionListener@57fd91c9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6cfcd46d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@52045dbe, org.springframework.test.context.event.EventPublishingTestExecutionListener@674658f7, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5c8eee0f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@565b064f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@26425897, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@73163d48, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@58c34bb3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@56a4479a]
19:15:32.768 [main] INFO  o.s.b.d.r.RestartApplicationListener - Restart disabled due to context in which it is running
19:15:32.889 [main] INFO  c.u.j.service.EmailServiceTest - Starting EmailServiceTest using Java 25 on Ujjawals-MacBook-Air.local with PID 4418 (started by ujjawalsingh in /Users/ujjawalsingh/Downloads/journalApp)
19:15:32.889 [main] INFO  c.u.j.service.EmailServiceTest - The following 1 profile is active: "dev"
19:15:33.105 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
19:15:33.126 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 3 MongoDB repository interfaces.
19:15:33.478 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "26.0"}, "platform": "Java/Oracle Corporation/25+37-LTS-3491", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='UjjawalFirst', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@76e90da5]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.8vbmwse.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-r73uja-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
19:15:33.575 [main] INFO  org.mongodb.driver.cluster - Cluster description not yet available. Waiting for 30000 ms before timing out
19:15:33.679 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-srv-cluster0.8vbmwse.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017 to client view of cluster
19:15:33.688 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-srv-cluster0.8vbmwse.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017 to client view of cluster
19:15:33.689 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-srv-cluster0.8vbmwse.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017 to client view of cluster
19:15:33.693 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@66d25ba9 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
19:15:34.457 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:117097}] to ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017
19:15:34.457 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=322498000, setName='atlas-r73uja-shard-0', canonicalAddress=ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017, hosts=[ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017, ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017, ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000005f, setVersion=49, topologyVersion=TopologyVersion{processId=68e29d1550ff7de3d374a15b, counter=6}, lastWriteDate=Mon Oct 06 19:15:33 IST 2025, lastUpdateTimeNanos=50728528629875}
19:15:34.458 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000005f from replica set primary ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017
19:15:34.458 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 49 from replica set primary ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017
19:15:34.458 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017
19:15:34.502 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:114525}] to ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017
19:15:34.502 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:113289}] to ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017
19:15:34.502 [cluster-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=342142000, setName='atlas-r73uja-shard-0', canonicalAddress=ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017, hosts=[ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017, ac-kp2svvb-shard-00-00.8vbmwse.mongodb.net:27017, ac-kp2svvb-shard-00-02.8vbmwse.mongodb.net:27017], passives=[], arbiters=[], primary='ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=49, topologyVersion=TopologyVersion{processId=68e29dd14c44dc0deeaaad5d, counter=4}, lastWriteDate=Mon Oct 06 19:15:33 IST 2025, lastUpdateTimeNanos=50728573966208}
19:15:34.502 [cluster-rtt-ClusterId{value='68e3c7fd8abed836f100ca63', description='null'}-ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:117097}] to ac-kp2svvb-shard-00-01.8vbmwse.mongodb.net:27017
