19:37:03.779 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.ujcompany.journalApp.service.RedisTests], using SpringBootContextLoader
19:37:03.785 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.ujcompany.journalApp.service.RedisTests]: no resource found for suffixes {-context.xml, Context.groovy}.
19:37:03.785 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.ujcompany.journalApp.service.RedisTests]: RedisTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:37:03.846 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.ujcompany.journalApp.JournalApplication for test class com.ujcompany.journalApp.service.RedisTests
19:37:03.882 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
19:37:03.889 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4c4d27c8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6821ea29, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@338494fa, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@505a9d7c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@758c83d8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@129b4fe2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5af3a0f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@19ae6bb, org.springframework.test.context.event.EventPublishingTestExecutionListener@10993713, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@58359ebd, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@24b6b8f6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@72cf2de5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2bb7bd00, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5f031ebd, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4ee37ca3]
19:37:03.907 [main] INFO  o.s.b.d.r.RestartApplicationListener - Restart disabled due to context in which it is running
19:37:04.029 [main] INFO  c.u.journalApp.service.RedisTests - Starting RedisTests using Java 25 on Ujjawals-MacBook-Air.local with PID 10488 (started by ujjawalsingh in /Users/ujjawalsingh/Downloads/journalApp)
19:37:04.029 [main] INFO  c.u.journalApp.service.RedisTests - The following 1 profile is active: "dev"
19:37:04.278 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
19:37:04.279 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
